coin,Brain,human_readable_time,timeframe,win_rate_percentage_per_day,number_of_trades_per_day,average_percentage_per_trade,cumulative_percentage_per_day,win_rate_percentage_per_year_or_two_or_three
XMR,bbrsi,2021-07-15 08:00:00,5m,,1,0.18,0.18,
XMR,bbrsi,2021-07-16 08:00:00,5m,,3,0.28,0.84,
XMR,bbrsi,2021-07-17 08:00:00,5m,,3,0.25,0.74,
XMR,bbrsi,2021-07-18 08:00:00,5m,50.0,2,-1.54,-3.08,
XMR,bbrsi,2021-07-19 08:00:00,5m,66.7,3,-1.04,-3.12,
XMR,bbrsi,2021-07-20 08:00:00,5m,50.0,2,-1.36,-2.71,
XMR,bbrsi,2021-07-21 08:00:00,5m,,2,0.15,0.30,
XMR,bbrsi,2021-07-22 08:00:00,5m,,3,0.37,1.11,
XMR,bbrsi,2021-07-23 08:00:00,5m,,3,0.33,0.99,
XMR,bbrsi,2021-07-24 08:00:00,5m,,4,0.48,1.91,
XMR,bbrsi,2021-07-25 08:00:00,5m,,5,0.46,2.31,
XMR,bbrsi,2021-07-26 08:00:00,5m,,5,1.15,5.77,
XMR,bbrsi,2021-07-27 08:00:00,5m,,3,0.88,2.63,
XMR,bbrsi,2021-07-28 08:00:00,5m,,0,0.00,0.00,
XMR,bbrsi,2021-07-29 08:00:00,5m,,2,0.61,1.23,
XMR,bbrsi,2021-07-30 08:00:00,5m,66.7,3,-0.20,-0.59,
XMR,bbrsi,2021-07-31 08:00:00,5m,,3,0.32,0.96,
XMR,bbrsi,2021-08-01 08:00:00,5m,,4,1.13,4.51,
XMR,bbrsi,2021-08-02 08:00:00,5m,,2,0.13,0.26,
XMR,bbrsi,2021-08-03 08:00:00,5m,,4,0.51,2.04,
XMR,bbrsi,2021-08-04 08:00:00,5m,75.0,4,0.26,1.04,
XMR,bbrsi,2021-08-05 08:00:00,5m,,2,1.39,2.78,
XMR,bbrsi,2021-08-06 08:00:00,5m,,3,0.78,2.34,
XMR,bbrsi,2021-08-07 08:00:00,5m,,4,1.10,4.39,
XMR,bbrsi,2021-08-08 08:00:00,5m,50.0,2,-1.32,-2.65,
XMR,bbrsi,2021-08-09 08:00:00,5m,80.0,5,0.26,1.32,
XMR,bbrsi,2021-08-10 08:00:00,5m,,3,0.70,2.11,
XMR,bbrsi,2021-08-11 08:00:00,5m,66.7,6,-0.34,-2.05,
XMR,bbrsi,2021-08-12 08:00:00,5m,66.7,3,-0.69,-2.06,
XMR,bbrsi,2021-08-13 12:30:00,5m,,2,0.76,1.51,
XMR,bbrsi,2021-08-14 12:30:00,5m,,4,0.42,1.68,
XMR,bbrsi,2021-08-15 12:30:00,5m,,1,0.18,0.18,
XMR,bbrsi,2021-08-16 12:30:00,5m,66.7,3,-0.40,-1.19,
